File	/Users/minjaesong/Downloads/MONOTONE-master/NO_ROADS.MON
Length	34 patterns
voices	4
Order list:
02 00 01 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1E 1E 1F 

Order 02
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | C-4 000 | C-5 000 | C-5 000 | C-4 F20
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | ... 000 | ... 000 | ... 000 | ... 000
03 | ... 000 | ... 000 | ... 000 | ... 000
04 | ... 000 | D-5 000 | F#5 000 | ... F08
05 | ... 000 | F#5 000 | ... 000 | ... 000
06 | ... 000 | A-5 000 | ... 000 | ... 000
07 | ... 000 | G-5 000 | G-5 000 | ... 000
08 | ... 000 | C-6 000 | ... 000 | ... 000
09 | ... 000 | E-6 000 | ... 000 | ... 000
0A | ... 000 | C-5 000 | === 000 | ... 000
0B | ... 000 | ... 000 | ... 000 | ... 000
0C | ... 000 | ... 000 | ... 000 | ... F20
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | ... 000 | C-6 000 | G#5 000 | ... F04
11 | ... 000 | D#6 000 | C-6 000 | ... 000
12 | ... 000 | G#6 000 | D#6 000 | ... 000
13 | ... 000 | F#6 000 | D-6 000 | ... 000
14 | ... 000 | A-6 000 | F#6 000 | ... 000
15 | ... 000 | D-7 000 | A-6 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | ... 000 | C-5 000 | === 000 | ... 000
18 | ... 000 | ... 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000 | ... F20
1C | ... 000 | ... 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | G-3 000 | ... F03
1F | ... 000 | ... 000 | A-3 000 | ... 000
20 | ... 000 | ... 000 | B-3 000 | ... 000
21 | ... 000 | ... 000 | C-4 000 | ... 000
22 | ... 000 | ... 000 | D-4 000 | ... 000
23 | ... 000 | ... 000 | E-4 000 | ... 000
24 | ... 000 | ... 000 | F-4 000 | ... 000
25 | ... 000 | ... 000 | G-4 000 | ... 000
26 | ... 000 | ... 000 | A-4 000 | ... 000
27 | ... 000 | ... 000 | B-4 000 | ... 000
28 | ... 000 | ... 000 | C-5 000 | ... 000
29 | ... 000 | ... 000 | D-5 000 | ... 000
2A | ... 000 | ... 000 | E-5 000 | ... 000
2B | ... 000 | ... 000 | F-5 000 | ... 000
2C | ... 000 | ... 000 | G-5 000 | ... 000
2D | ... 000 | ... 000 | A-5 000 | ... 000
2E | ... 000 | ... 000 | B-5 000 | ... 000
2F | ... 000 | ... 000 | C-6 000 | ... 000
30 | ... 000 | ... 000 | D-6 000 | ... 000
31 | ... 000 | ... 000 | E-6 000 | ... 000
32 | ... 000 | ... 000 | F-6 000 | ... 000
33 | ... 000 | ... 000 | G-6 000 | ... 000
34 | ... 000 | ... 000 | A-6 000 | ... 000
35 | ... 000 | ... 000 | B-6 D00 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | ... 000 | ... 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | ... 000 | ... 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 00
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | C-2 000 | C-3 000 | C-2 000 | C-3 F20
01 | ... 000 | ... 208 | ... 000 | ... 208
02 | G-3 000 | E-4 000 | G-4 000 | C-5 000
03 | ... 000 | ... 000 | ... 000 | ... 000
04 | G-2 000 | A#4 000 | F-4 000 | D-5 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | A#3 000 | D-4 000 | G-4 000 | A#4 000
07 | ... 000 | ... 000 | ... 000 | ... 000
08 | A#3 000 | F-3 000 | C-4 000 | A-4 000
09 | ... 000 | F-3 000 | A-3 000 | A#4 000
0A | G-3 000 | C-4 000 | D-4 000 | G-4 000
0B | ... 000 | ... 000 | ... 000 | ... 000
0C | ... 000 | ... 000 | E-4 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 210 | ... 210 | ... 210 | ... 210
10 | C-2 000 | C-3 000 | C-2 000 | === 000
11 | ... 000 | G-3 000 | C-4 000 | E-4 000
12 | C-3 000 | C-4 000 | E-4 000 | G-4 000
13 | ... 000 | E-4 000 | G-4 000 | C-5 000
14 | C-4 000 | G#4 000 | C-5 000 | D#5 000
15 | C-3 000 | C-2 000 | === 000 | === 000
16 | === 000 | A#4 000 | D-5 000 | F-5 000
17 | C-2 000 | C-3 000 | C-2 000 | === 000
18 | C-4 000 | A#4 000 | D-5 000 | F#5 F10
19 | ... 000 | A-4 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000 | ... 000
1C | ... 000 | ... 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | C-2 000 | C-3 000 | C-2 000 | C-3 000
1F | ... 000 | ... 000 | ... 000 | ... 000
20 | C-3 000 | A#4 000 | D-5 000 | F#5 000
21 | ... 000 | A-4 000 | ... 000 | ... 000
22 | ... 000 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | ... 000 | ... 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | C-2 000 | C-3 000 | C-4 000 | C-3 000
27 | ... 000 | ... 000 | ... 000 | ... 000
28 | C-4 000 | A#5 000 | D-6 000 | F#6 000
29 | ... 000 | A-5 000 | ... 000 | ... 000
2A | ... 000 | A#5 000 | ... 000 | ... F08
2B | ... 000 | A-5 000 | ... 000 | ... 000
2C | ... 000 | F#5 000 | ... 000 | ... 000
2D | ... 000 | D-5 000 | ... 000 | ... 000
2E | ... 000 | F#5 000 | ... 000 | ... 000
2F | ... 000 | D-5 000 | ... 000 | ... 000
30 | ... 000 | A#4 000 | ... 000 | ... 000
31 | ... 000 | A-4 000 | ... 000 | ... 000
32 | ... 000 | A#4 000 | ... 000 | ... 000
33 | ... 000 | A-4 000 | ... 000 | ... 000
34 | ... 000 | F#4 000 | ... 000 | ... 000
35 | ... 000 | D-4 D00 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | ... 000 | ... 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | ... 000 | ... 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 01
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | C-2 000 | D-3 000 | F#3 000 | A-3 F20
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | ... 000 | ... 000 | === 000 | ... 000
03 | ... 000 | ... 000 | ... 000 | ... 000
04 | ... 000 | ... 000 | F#2 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | ... 000 | ... 000 | ... 000 | ... 000
07 | C-5 205 | C-4 205 | === 000 | === F08
08 | ... 205 | ... 205 | ... 000 | ... 000
09 | ... 205 | ... 205 | ... 000 | ... 000
