File	/Users/minjaesong/Downloads/MONOTONE-master/RICKROLL.MON
Length	5 patterns
voices	3
Order list:
00 01 02 03 04 

Order 00
rw | nnn edd | nnn edd | nnn edd

00 | G-3 F07 | D-6 ... | === ...
01 | ... ... | ... ... | === ...
02 | G-4 ... | ... ... | B-4 ...
03 | === ... | ... ... | === ...
04 | G-4 ... | ... ... | B-4 ...
05 | E-4 ... | ... ... | === ...
06 | D-4 ... | E-6 ... | === ...
07 | A-3 ... | ... ... | C#5 ...
08 | === ... | ... ... | === ...
09 | A-3 ... | ... ... | === ...
0A | A-3 ... | ... ... | C#5 ...
0B | === ... | ... ... | === ...
0C | A-4 ... | A-5 ... | C#5 ...
0D | === ... | ... ... | === ...
0E | A-3 ... | ... ... | === ...
0F | === ... | ... ... | === ...
10 | F#3 ... | E-6 ... | A-4 ...
11 | === ... | ... ... | === ...
12 | F#4 ... | ... ... | A-4 ...
13 | === ... | ... ... | === ...
14 | F#4 ... | ... ... | A-4 ...
15 | F#3 ... | ... ... | === ...
16 | === ... | F#6 ... | === ...
17 | B-3 ... | ... ... | D-5 ...
18 | === ... | ... ... | === ...
19 | B-4 ... | ... ... | === ...
1A | === ... | ... ... | D-5 ...
1B | B-3 ... | ... ... | === ...
1C | A-3 ... | A-6 ... | C#5 ...
1D | === ... | G-6 ... | === ...
1E | A-4 ... | F#6 ... | D-5 ...
1F | A-3 ... | D-6 ... | === ...
20 | G-3 ... | ... ... | === ...
21 | === ... | ... ... | === ...
22 | G-4 ... | ... ... | B-4 ...
23 | === ... | ... ... | === ...
24 | G-4 ... | ... ... | B-4 ...
25 | E-4 ... | ... ... | === ...
26 | D-4 ... | E-6 ... | === ...
27 | A-3 ... | ... ... | C#5 ...
28 | === ... | ... ... | === ...
29 | A-4 ... | ... ... | === ...
2A | === ... | C#6 ... | C#5 ...
2B | A-3 ... | ... ... | === ...
2C | A-4 ... | B-5 ... | C#5 ...
2D | === ... | ... ... | === ...
2E | A-3 ... | A-5 ... | === ...
2F | === ... | ... ... | === ...
30 | F#3 ... | E-6 ... | E-5 ...
31 | F-3 ... | ... ... | ... ...
32 | F#4 ... | ... ... | ... ...
33 | === ... | ... ... | ... ...
34 | F#4 ... | D-6 ... | D-5 ...
35 | F#3 ... | ... ... | ... ...
36 | ... ... | ... ... | ... ...
37 | B-3 ... | === ... | === ...
38 | === ... | ... ... | ... ...
39 | B-4 ... | ... ... | ... ...
3A | === ... | ... ... | ... ...
3B | B-3 ... | ... ... | ... ...
