File	/Users/minjaesong/Downloads/MONOTONE-master/SWINGIN1.MON
Length	31 patterns
voices	3
Order list:
1B 1C 19 19 17 18 00 01 02 03 04 05 06 07 10 08 09 0A 0B 0C 0D 0E 0F 11 12 13 14 11 12 13 1D 1E 

Order 1B
rw | nnn edd | nnn edd | nnn edd

00 | F#2 000 | E-3 110 | E-7 F06
01 | G#2 301 | ... 110 | ... 210
02 | ... 301 | ... 110 | ... 210
03 | ... 301 | ... 110 | ... 210
04 | ... 301 | ... 110 | ... 210
05 | ... 301 | ... 110 | ... 210
06 | G#2 432 | ... 110 | ... 210
07 | ... 432 | ... 110 | ... 210
08 | ... 432 | ... 110 | ... 210
09 | ... 432 | ... 110 | ... 210
0A | ... 432 | ... 110 | ... 210
0B | ... 432 | ... 110 | ... 210
0C | ... 432 | ... 110 | ... 208
0D | ... 432 | ... 110 | ... 208
0E | ... 432 | ... 110 | ... 208
0F | ... 432 | ... 110 | ... 208
10 | ... 432 | ... 110 | ... 208
11 | ... 432 | ... 110 | ... 208
12 | ... 432 | ... 110 | ... 208
13 | ... 432 | ... 110 | ... 208
14 | ... 432 | ... 110 | ... 208
15 | ... 432 | ... 110 | ... 208
16 | ... 432 | ... 110 | ... 208
17 | ... 432 | ... 110 | ... 208
18 | ... 432 | ... 110 | ... 208
19 | ... 432 | ... 110 | ... 208
1A | ... 432 | ... 110 | ... 208
1B | ... 432 | ... 110 | ... 208
1C | ... 432 | ... 110 | ... 208
1D | ... 432 | ... 110 | ... 208
1E | ... 432 | ... 110 | ... 208
1F | ... 432 | ... 110 | ... 208
20 | E-2 432 | ... 210 | ... 208
21 | ... 432 | ... 210 | ... 208
22 | ... 432 | ... 210 | ... 208
23 | ... 432 | ... 210 | ... 208
24 | ... 432 | ... 210 | ... 208
25 | ... 432 | ... 210 | ... 208
26 | ... 432 | ... 210 | ... 208
27 | ... 432 | ... 210 | ... 208
28 | ... 432 | ... 210 | ... 208
29 | ... 432 | ... 210 | ... 208
2A | ... 432 | ... 210 | ... 208
2B | ... 432 | ... 210 | ... 208
2C | ... 432 | ... 210 | ... 208
2D | ... 432 | ... 210 | ... 208
2E | ... 432 | ... 210 | ... 204
2F | ... 432 | ... 210 | ... 204
30 | C#3 306 | ... 210 | ... 204
31 | ... 306 | ... 210 | ... 204
32 | ... 306 | ... 210 | ... 204
33 | ... 306 | ... 210 | ... 204
34 | C#3 432 | ... 210 | ... 204
35 | ... 432 | ... 210 | ... 204
36 | ... 432 | ... 210 | ... 204
37 | ... 432 | ... 210 | ... 204
38 | ... 432 | ... 210 | ... 204
39 | ... 432 | ... 210 | ... 204
3A | ... 432 | ... 210 | ... 204
3B | ... 432 | ... 210 | ... 204
3C | ... 432 | ... 210 | ... 204
3D | ... 432 | ... 210 | ... 204
3E | ... 432 | ... 210 | ... 204
3F | ... 432 | ... 210 | ... 204

Order 1C
rw | nnn edd | nnn edd | nnn edd

00 | G-3 210 | C-3 000 | G#2 F04
01 | C-1 320 | ... 000 | G#1 305
02 | ... 320 | ... 000 | ... 305
03 | ... 320 | === 000 | ... 305
04 | === 000 | ... 000 | ... 305
05 | ... 000 | ... 000 | ... 305
06 | G-3 210 | C-3 000 | ... 000
07 | C-1 320 | ... 000 | ... 000
08 | ... 320 | ... 210 | ... 000
09 | ... 320 | === 000 | ... 000
0A | === 000 | ... 000 | === 000
0B | ... 000 | ... 000 | ... 000
0C | G-3 210 | C-3 000 | ... 000
0D | C-1 320 | ... 220 | ... 000
0E | ... 320 | === 000 | ... 000
0F | ... 320 | ... 000 | ... 000
10 | === 000 | ... 000 | ... 000
11 | ... 000 | ... 000 | ... 000
12 | G-3 210 | C-1 000 | ... 000
13 | C-1 320 | ... 000 | ... 000
14 | === 000 | === 000 | ... 000
15 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000
17 | ... 000 | ... 000 | ... 000
18 | ... 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000
1C | ... 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000
1F | ... 000 | ... 000 | ... 000
20 | ... 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000
22 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000
24 | ... 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000
27 | ... 000 | ... 000 | ... 000
28 | ... 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000
2C | ... 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000
30 | ... 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000
32 | ... 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000
34 | ... 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000
38 | ... 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000
3C | ... 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000

Order 19
rw | nnn edd | nnn edd | nnn edd

00 | ... 000 | F-3 210 | ... F05
01 | ... 000 | C-1 320 | ... 000
02 | ... 000 | ... 000 | ... F03
03 | ... 000 | === 000 | ... 000
04 | ... 000 | G#1 000 | ... F05
05 | ... 000 | ... 000 | ... 000
06 | ... 000 | G#2 000 | ... F03
07 | ... 000 | === 000 | ... 000
08 | ... 000 | C-4 220 | ... F05
09 | ... 000 | C-3 220 | ... 000
0A | ... 000 | C-2 220 | ... F03
0B | ... 000 | === 000 | ... 000
0C | ... 000 | G#1 000 | ... F05
0D | ... 000 | G#2 310 | ... 000
0E | ... 000 | G#3 000 | ... F03
0F | ... 000 | === 000 | ... 000
10 | ... 000 | F-3 210 | ... F05
11 | ... 000 | C-1 320 | ... 000
12 | ... 000 | G#2 000 | ... F03
13 | ... 000 | === 000 | ... 000
14 | ... 000 | G#4 000 | ... F05
15 | ... 000 | === 000 | ... 000
16 | ... 000 | G#2 000 | ... F03
17 | ... 000 | === 000 | ... 000
18 | ... 000 | C-4 220 | ... F05
19 | ... 000 | C-3 220 | ... 000
1A | ... 000 | C-2 220 | ... F03
1B | ... 000 | === 000 | ... 000
1C | ... 000 | G#1 000 | ... F05
1D | ... 000 | G#2 310 | ... 000
1E | ... 000 | G#3 310 | ... F03
1F | ... 000 | === 000 | ... 000
20 | ... 000 | F-3 210 | ... F05
21 | ... 000 | C-1 320 | ... 000
22 | ... 000 | ... 000 | ... F03
23 | ... 000 | === 000 | ... 000
24 | ... 000 | G#1 000 | ... F05
25 | ... 000 | ... 000 | ... 000
26 | ... 000 | G#2 000 | ... F03
27 | ... 000 | === 000 | ... 000
28 | ... 000 | C-4 220 | ... F05
29 | ... 000 | C-3 220 | ... 000
2A | ... 000 | G#1 000 | ... F03
2B | ... 000 | ... 000 | ... 000
2C | ... 000 | G#2 310 | ... F05
2D | ... 000 | ... 310 | ... 000
2E | ... 000 | D#4 000 | ... F03
2F | ... 000 | === 000 | ... 000
30 | ... 000 | F-3 210 | ... F05
31 | ... 000 | C-1 320 | ... 000
32 | ... 000 | G#2 000 | ... F03
33 | ... 000 | === 000 | ... 000
34 | ... 000 | G#4 000 | ... F05
35 | ... 000 | === 000 | ... 000
36 | ... 000 | G#2 000 | ... F03
37 | ... 000 | === 000 | ... 000
38 | ... 000 | C-4 220 | ... F05
39 | ... 000 | C-3 220 | ... 000
3A | ... 000 | C-2 220 | ... F03
3B | ... 000 | === 000 | ... 000
3C | ... 000 | G#3 000 | ... F05
3D | ... 000 | ... 210 | ... 000
3E | ... 000 | G#2 000 | ... F03
3F | ... 000 | ... 000 | ... 000

Order 19
rw | nnn edd | nnn edd | nnn edd

00 | ... 000 | F-3 210 | ... F05
01 | ... 000 | C-1 320 | ... 000
02 | ... 000 | ... 000 | ... F03
03 | ... 000 | === 000 | ... 000
04 | ... 000 | G#1 000 | ... F05
05 | ... 000 | ... 000 | ... 000
06 | ... 000 | G#2 000 | ... F03
07 | ... 000 | === 000 | ... 000
08 | ... 000 | C-4 220 | ... F05
09 | ... 000 | C-3 220 | ... 000
0A | ... 000 | C-2 220 | ... F03
0B | ... 000 | === 000 | ... 000
0C | ... 000 | G#1 000 | ... F05
0D | ... 000 | G#2 310 | ... 000
0E | ... 000 | G#3 000 | ... F03
0F | ... 000 | === 000 | ... 000
10 | ... 000 | F-3 210 | ... F05
11 | ... 000 | C-1 320 | ... 000
12 | ... 000 | G#2 000 | ... F03
13 | ... 000 | === 000 | ... 000
14 | ... 000 | G#4 000 | ... F05
15 | ... 000 | === 000 | ... 000
16 | ... 000 | G#2 000 | ... F03
17 | ... 000 | === 000 | ... 000
18 | ... 000 | C-4 220 | ... F05
19 | ... 000 | C-3 220 | ... 000
1A | ... 000 | C-2 220 | ... F03
1B | ... 000 | === 000 | ... 000
1C | ... 000 | G#1 000 | ... F05
1D | ... 000 | G#2 310 | ... 000
1E | ... 000 | G#3 310 | ... F03
1F | ... 000 | === 000 | ... 000
20 | ... 000 | F-3 210 | ... F05
21 | ... 000 | C-1 320 | ... 000
22 | ... 000 | ... 000 | ... F03
23 | ... 000 | === 000 | ... 000
24 | ... 000 | G#1 000 | ... F05
25 | ... 000 | ... 000 | ... 000
26 | ... 000 | G#2 000 | ... F03
27 | ... 000 | === 000 | ... 000
28 | ... 000 | C-4 220 | ... F05
29 | ... 000 | C-3 220 | ... 000
2A | ... 000 | G#1 000 | ... F03
2B | ... 000 | ... 000 | ... 000
2C | ... 000 | G#2 310 | ... F05
2D | ... 000 | ... 310 | ... 000
2E | ... 000 | D#4 000 | ... F03
2F | ... 000 | === 000 | ... 000
30 | ... 000 | F-3 210 | ... F05
31 | ... 000 | C-1 320 | ... 000
32 | ... 000 | G#2 000 | ... F03
33 | ... 000 | === 000 | ... 000
34 | ... 000 | G#4 000 | ... F05
35 | ... 000 | === 000 | ... 000
36 | ... 000 | G#2 000 | ... F03
37 | ... 000 | === 000 | ... 000
38 | ... 000 | C-4 220 | ... F05
39 | ... 000 | C-3 220 | ... 000
3A | ... 000 | C-2 220 | ... F03
3B | ... 000 | === 000 | ... 000
3C | ... 000 | G#3 000 | ... F05
3D | ... 000 | ... 210 | ... 000
3E | ... 000 | G#2 000 | ... F03
3F | ... 000 | ... 000 | ... 000

Order 17
rw | nnn edd | nnn edd | nnn edd

00 | G#2 000 | F-3 210 | ... F05
01 | === 000 | C-1 320 | === 000
02 | D#4 000 | G#4 000 | B-4 F03
03 | === 000 | === 000 | === 000
04 | === 000 | G#2 204 | === F05
05 | === 000 | G#1 308 | === 000
06 | ... 000 | ... 308 | ... F03
07 | ... 000 | === 308 | ... 000
08 | D#4 000 | C-4 220 | B-4 F05
09 | === 000 | C-3 220 | === 000
0A | === 000 | G#1 000 | === F03
0B | ... 000 | ... 000 | ... 000
0C | ... 000 | G#2 310 | ... F05
0D | ... 000 | ... 310 | ... 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | === 000 | === 000 | === 000
10 | ... 000 | F-3 210 | ... F05
11 | === 000 | C-1 320 | === 000
12 | ... 000 | G#2 000 | ... F03
13 | ... 000 | === 000 | ... 000
14 | D#4 000 | G#4 000 | B-4 F05
15 | === 000 | === 000 | === 000
16 | === 000 | G#2 000 | === F03
17 | ... 000 | === 000 | ... 000
18 | ... 000 | C-4 220 | ... F05
19 | === 000 | C-3 220 | ... 000
1A | ... 000 | C-2 220 | B-4 F03
1B | === 000 | === 000 | === 000
1C | ... 000 | G#1 000 | ... F05
1D | === 000 | G#2 310 | ... 000
1E | === 000 | G#3 310 | === F03
1F | ... 000 | === 000 | ... 000
20 | G#2 000 | F-3 210 | ... F05
21 | === 000 | C-1 320 | ... 000
22 | D#4 000 | G#4 000 | A#4 F03
23 | === 000 | === 000 | === 000
24 | ... 000 | G#2 204 | ... F05
25 | === 000 | G#1 308 | === 000
26 | ... 000 | ... 308 | ... F03
27 | ... 000 | === 000 | ... 000
28 | D#4 000 | C-4 220 | A#4 F05
29 | === 000 | C-3 220 | === 000
2A | ... 000 | G#1 000 | ... F03
2B | === 000 | ... 000 | === 000
2C | ... 000 | G#2 310 | ... F05
2D | ... 000 | ... 310 | ... 000
2E | D#4 000 | G#4 000 | A#4 F03
2F | === 000 | === 000 | === 000
30 | ... 000 | F-3 210 | ... F05
31 | === 000 | C-1 320 | === 000
32 | ... 000 | === 000 | ... F03
33 | ... 000 | ... 000 | ... 000
34 | D#4 000 | G#4 000 | A#4 F05
35 | === 000 | === 000 | === 000
36 | === 000 | G#2 000 | === F03
37 | ... 000 | === 000 | ... 000
38 | ... 000 | C-4 220 | ... F05
39 | ... 000 | C-3 220 | ... 000
3A | D#4 000 | G#4 000 | A#4 F03
3B | === 000 | === 000 | === 000
3C | ... 000 | G#3 000 | ... F05
3D | === 000 | ... 210 | === 000
3E | D#4 000 | G#2 000 | A#4 F03
3F | === 000 | ... 000 | === 000

Order 18
rw | nnn edd | nnn edd | nnn edd

00 | G#2 000 | F-3 210 | ... F05
01 | === 000 | C-1 320 | === 000
02 | D#4 000 | G#4 000 | B-4 F03
03 | === 000 | === 000 | === 000
04 | === 000 | G#2 204 | === F05
05 | === 000 | G#1 308 | === 000
06 | ... 000 | ... 308 | ... F03
07 | ... 000 | === 308 | ... 000
08 | D#4 000 | C-4 220 | B-4 F05
09 | === 000 | C-3 220 | === 000
0A | === 000 | G#1 000 | === F03
0B | ... 000 | ... 000 | ... 000
0C | ... 000 | G#2 310 | ... F05
0D | ... 000 | ... 310 | ... 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | === 000 | === 000 | === 000
10 | ... 000 | F-3 210 | ... F05
11 | === 000 | C-1 320 | === 000
12 | ... 000 | G#2 000 | ... F03
13 | ... 000 | === 000 | ... 000
14 | D#4 000 | G#4 000 | B-4 F05
15 | === 000 | === 000 | === 000
16 | === 000 | G#2 000 | === F03
17 | ... 000 | === 000 | ... 000
18 | ... 000 | C-4 220 | ... F05
19 | === 000 | C-3 220 | ... 000
1A | ... 000 | C-2 220 | B-4 F03
1B | === 000 | === 000 | === 000
1C | ... 000 | G#1 000 | ... F05
1D | === 000 | G#2 310 | ... 000
1E | === 000 | G#3 310 | === F03
1F | ... 000 | === 000 | ... 000
20 | G#2 000 | F-3 210 | ... F05
21 | === 000 | C-1 320 | ... 000
22 | D#4 000 | G#4 000 | A#4 F03
23 | === 000 | === 000 | === 000
24 | ... 000 | G#2 204 | ... F05
25 | === 000 | G#1 308 | ... 000
26 | ... 000 | ... 308 | ... F03
27 | ... 000 | === 000 | ... 000
28 | D#4 000 | C-4 220 | A#4 F05
29 | === 000 | C-3 220 | === 000
2A | ... 000 | G#1 000 | ... F03
2B | === 000 | ... 000 | === 000
2C | ... 000 | G#2 310 | ... F05
2D | ... 000 | ... 310 | ... 000
2E | D#4 000 | G#4 000 | B-4 F04
2F | === 000 | === 000 | === 000
30 | G#2 000 | C-4 230 | G#3 114
31 | G#1 303 | C-3 228 | ... 114
32 | ... 303 | C-2 220 | ... 114
33 | ... 303 | === 000 | ... 114
34 | ... 303 | ... 000 | ... 114
35 | ... 303 | ... 000 | ... 114
36 | ... 303 | ... 000 | ... 114
37 | ... 303 | ... 000 | ... 114
38 | ... 000 | ... 000 | ... 114
39 | ... 000 | ... 000 | ... 114
3A | ... 000 | ... 000 | ... 114
3B | ... 000 | ... 000 | ... 114
3C | ... 000 | ... 000 | ... 114
3D | ... 000 | ... 000 | ... 214
3E | ... 000 | ... 000 | ... 214
3F | ... 000 | ... 000 | ... 214

Order 00
rw | nnn edd | nnn edd | nnn edd

00 | G#2 000 | F-3 210 | ... F05
01 | === 000 | C-1 320 | === 000
02 | D#4 000 | G#4 000 | B-4 F03
03 | ... 000 | ... 000 | ... 000
04 | ... 000 | G#2 204 | ... F05
05 | === 000 | G#1 308 | === 000
06 | ... 000 | ... 308 | ... F03
07 | ... 000 | === 308 | ... 000
08 | D#4 000 | C-4 220 | B-4 F05
09 | ... 000 | C-3 220 | ... 000
0A | === 000 | G#1 000 | === F03
0B | ... 000 | ... 000 | ... 000
0C | ... 000 | G#2 310 | ... F05
0D | ... 000 | ... 310 | ... 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
10 | ... 000 | F-3 210 | ... F05
11 | === 000 | C-1 320 | === 000
12 | ... 000 | === 000 | ... F03
13 | ... 000 | ... 000 | ... 000
14 | D#4 000 | G#4 000 | B-4 F05
15 | ... 000 | ... 000 | ... 000
16 | === 000 | G#2 000 | === F03
17 | ... 000 | === 000 | ... 000
18 | D#6 000 | C-4 220 | ... F05
19 | === 000 | C-3 220 | ... 000
1A | D#5 000 | G#4 000 | B-4 F03
1B | === 000 | === 000 | === 000
1C | D#4 000 | G#1 000 | ... F05
1D | ... 000 | G#2 310 | ... 000
1E | === 000 | G#3 310 | === F03
1F | ... 000 | === 000 | ... 000
20 | G#2 000 | F-3 210 | ... F05
21 | === 000 | C-1 320 | ... 000
22 | D#4 000 | G#4 000 | A#4 F03
23 | ... 000 | ... 000 | ... 000
24 | ... 000 | G#2 204 | ... F05
25 | === 000 | G#1 308 | === 000
26 | ... 000 | ... 308 | ... F03
27 | ... 000 | === 000 | ... 000
28 | D#4 000 | C-4 220 | A#4 F05
29 | ... 000 | C-3 220 | ... 000
2A | ... 000 | G#1 000 | ... F03
2B | === 000 | ... 000 | === 000
2C | ... 000 | G#2 310 | ... F05
2D | ... 000 | ... 310 | ... 000
2E | D#4 000 | G#4 000 | A#4 F03
2F | ... 000 | ... 000 | ... 000
30 | ... 000 | F-3 210 | ... F05
31 | === 000 | C-1 320 | === 000
32 | ... 000 | === 000 | ... F03
33 | ... 000 | ... 000 | ... 000
34 | D#4 000 | G#4 000 | A#4 F05
35 | ... 000 | ... 000 | ... 000
36 | === 000 | G#2 000 | === F03
37 | ... 000 | === 000 | ... 000
38 | ... 000 | C-4 220 | ... F05
39 | ... 000 | C-3 220 | ... 000
3A | D#4 000 | G#4 000 | A#4 F03
3B | ... 000 | ... 000 | ... 000
3C | ... 000 | G#2 110 | ... F05
3D | === 000 | G#3 320 | === 000
3E | D#4 000 | G#4 000 | A#4 F03
3F | ... 000 | ... 000 | ... 000

Order 01
rw | nnn edd | nnn edd | nnn edd

00 | G#2 000 | F-3 210 | ... F05
01 | === 000 | C-1 320 | === 000
02 | D#4 000 | G#4 000 | B-4 F03
03 | ... 000 | ... 000 | ... 000
04 | ... 000 | G#2 204 | ... F05
05 | === 000 | G#1 308 | === 000
06 | ... 000 | ... 308 | ... F03
07 | ... 000 | === 308 | ... 000
08 | D#4 000 | C-4 220 | B-4 F05
09 | ... 000 | C-3 220 | ... 000
0A | === 000 | G#1 000 | === F03
0B | ... 000 | ... 000 | ... 000
0C | ... 000 | G#2 310 | ... F05
0D | ... 000 | ... 310 | ... 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
10 | ... 000 | F-3 210 | ... F05
11 | === 000 | C-1 320 | === 000
12 | ... 000 | === 000 | ... F03
13 | ... 000 | ... 000 | ... 000
14 | D#4 000 | G#4 000 | B-4 F05
15 | ... 000 | ... 000 | ... 000
16 | === 000 | G#2 000 | === F03
17 | ... 000 | === 000 | ... 000
18 | D#6 000 | C-4 220 | ... F05
19 | === 000 | C-3 220 | ... 000
1A | D#5 000 | G#4 000 | B-4 F03
1B | === 000 | === 000 | === 000
1C | D#4 000 | G#1 000 | ... F05
1D | ... 000 | G#2 310 | ... 000
1E | === 000 | G#3 310 | === F03
1F | ... 000 | === 000 | ... 000
20 | G#2 000 | F-3 210 | ... F05
21 | === 000 | C-1 320 | ... 000
22 | D#4 000 | G#4 000 | C#5 F03
23 | ... 000 | ... 000 | ... 000
24 | ... 000 | G#2 204 | ... F05
25 | === 000 | G#1 308 | === 000
26 | ... 000 | ... 308 | ... F03
27 | ... 000 | === 000 | ... 000
28 | D#4 000 | C-4 220 | C#5 F05
29 | ... 000 | C-3 220 | ... 000
2A | ... 000 | G#1 000 | ... F03
2B | === 000 | ... 000 | === 000
2C | ... 000 | G#2 310 | ... F05
2D | ... 000 | ... 310 | ... 000
2E | D#4 000 | G#4 000 | B-4 F03
2F | ... 000 | ... 000 | ... 000
30 | ... 000 | F-3 210 | ... F05
31 | === 000 | C-1 320 | === 000
32 | ... 000 | === 000 | ... F03
33 | ... 000 | ... 000 | ... 000
34 | D#4 000 | G#4 000 | B-4 F05
35 | ... 000 | ... 000 | ... 000
36 | === 000 | G#2 000 | === F03
37 | ... 000 | === 000 | ... 000
38 | ... 000 | C-4 220 | ... F05
39 | ... 000 | C-3 220 | ... 000
3A | D#4 000 | G#4 000 | B-4 F03
3B | ... 000 | ... 000 | ... 000
3C | ... 000 | F#3 210 | ... F05
3D | === 000 | F#2 320 | === 000
3E | D#4 000 | G#4 000 | B-4 F03
3F | ... 000 | ... 000 | ... 000

Order 02
rw | nnn edd | nnn edd | nnn edd

00 | E-2 000 | F-3 210 | ... F05
01 | === 000 | C-1 320 | === 000
02 | D#4 000 | G#4 000 | B-4 F03
03 | ... 000 | ... 000 | ... 000
04 | ... 000 | E-2 204 | ... F05
05 | === 000 | E-1 308 | === 000
06 | ... 000 | ... 308 | ... F03
07 | ... 000 | === 308 | ... 000
08 | D#4 000 | C-4 220 | B-4 F05
09 | ... 000 | C-3 220 | ... 000
0A | === 000 | E-1 000 | === F03
0B | ... 000 | ... 000 | ... 000
0C | ... 000 | E-2 310 | ... F05
0D | ... 000 | ... 310 | ... 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
10 | ... 000 | F-3 210 | ... F05
11 | === 000 | C-1 320 | === 000
12 | ... 000 | === 000 | ... F03
13 | ... 000 | ... 000 | ... 000
14 | D#4 000 | G#4 000 | B-4 F05
15 | ... 000 | ... 000 | ... 000
16 | === 000 | E-2 000 | === F03
17 | ... 000 | === 000 | ... 000
18 | D#6 000 | C-4 220 | ... F05
19 | === 000 | C-3 220 | ... 000
1A | D#5 000 | G#4 000 | B-4 F03
1B | === 000 | === 000 | === 000
1C | D#4 000 | E-1 000 | ... F05
1D | ... 000 | E-2 310 | ... 000
1E | === 000 | E-3 310 | === F03
1F | ... 000 | === 000 | ... 000
20 | E-2 000 | F-3 210 | ... F05
21 | === 000 | C-1 320 | ... 000
22 | D#4 000 | G#4 000 | A#4 F03
23 | ... 000 | ... 000 | ... 000
24 | ... 000 | E-2 204 | ... F05
25 | === 000 | E-1 308 | === 000
26 | ... 000 | ... 308 | ... F03
27 | ... 000 | === 000 | ... 000
28 | D#4 000 | C-4 220 | A#4 F05
29 | ... 000 | C-3 220 | ... 000
2A | ... 000 | E-1 000 | ... F03
2B | === 000 | ... 000 | === 000
2C | ... 000 | E-2 310 | ... F05
2D | ... 000 | ... 310 | ... 000
2E | D#4 000 | G#4 000 | A#4 F03
2F | ... 000 | ... 000 | ... 000
30 | ... 000 | F-3 210 | ... F05
31 | === 000 | C-1 320 | === 000
32 | ... 000 | === 000 | ... F03
33 | ... 000 | ... 000 | ... 000
34 | D#4 000 | G#4 000 | A#4 F05
35 | ... 000 | ... 000 | ... 000
36 | === 000 | E-2 000 | === F03
37 | ... 000 | === 000 | ... 000
38 | ... 000 | C-4 220 | ... F05
39 | ... 000 | C-3 220 | ... 000
3A | D#4 000 | G#4 000 | A#4 F03
3B | ... 000 | ... 000 | ... 000
3C | ... 000 | E-2 110 | ... F05
3D | === 000 | E-3 320 | === 000
3E | D#4 000 | G#4 000 | A#4 F03
3F | ... 000 | ... 000 | ... 000

Order 03
rw | nnn edd | nnn edd | nnn edd

00 | C#2 000 | F-3 210 | ... F05
01 | === 000 | C-1 320 | === 000
02 | D#4 000 | G#4 000 | B-4 F03
03 | ... 000 | ... 000 | ... 000
04 | ... 000 | C#2 204 | ... F05
05 | === 000 | C#1 308 | === 000
06 | ... 000 | ... 308 | ... F03
07 | ... 000 | === 308 | ... 000
08 | D#4 000 | C-4 220 | B-4 F05
09 | ... 000 | C-3 220 | ... 000
0A | === 000 | C#1 000 | === F03
0B | ... 000 | ... 000 | ... 000
0C | ... 000 | C#2 310 | ... F05
0D | ... 000 | ... 310 | ... 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
